date,clicks_7d,impr_7d,ctr_7d,pos_7d,impr_28d,ctr_28d,pos_28d,top_query_7d,top_page_7d
2026-09-20,2,135,1.48,31.5,597,1.34,50.1,academic calculator,https://calcpromaster.netlify.app/math/random-generator
2026-09-21,2,140,1.43,33.3,606,1.32,49.4,academic calculator,https://calcpromaster.netlify.app/math/random-generator
2026-09-22,2,146,1.37,34.5,618,1.29,48.6,academic calculator,https://calcpromaster.netlify.app/math/random-generator
2026-09-25,2,194,1.03,33.7,678,1.33,45.7,random number calculator,https://calcpromaster.netlify.app/math/random-generator
2026-09-26,0,0,0,0,0,0,0,,
